"Nombre Rutina";"sistema";"Grupo (Arbol Equipos)";"Lugar";"Frecuencia";"Frecuencia Horas ";"Frecuencia Kms ";"No. de frecuencias a cumplir";"Tiempo de Ejecución en minutos";"Tipo de Manto";"Prioridad";"Orden Actividad";"Nombre Actividad";"Descripción";"Tiempo actividad en minutos";"Cargo";"Tiempo"
"Sincronizacion Motor 2";1;107;"Interno";;"20.000 ";"200.000 ";;;"Predictivo";"Alta";3;"CAM-INYE";"Cambio de inyectores";240;12;240
"Sincronizacion Motor 3";1;107;"Interno";;"3.328 ";"40.000 ";;;"Preventivo";"Alta";4;"CAM-COR";"Cambio de correas";15;14;15
"Reparacion Motor";1;107;"Externo";"Anual";"25.000 ";"300.000 ";;14.400;"Predictivo";"Baja";1;"REP-MOT";"Reparacion de motor";14.400;;14.400
"Sistema refrigeracion 2";12;107;"Interno";"Quincenal";"150 ";"2.500 ";;455;"Preventivo";"Alta";1;"LIM-RAD";"Limpieza del panal";20;14;20
"Sistema refrigeracion 3";12;107;"Externo";"Anual";"20.000 ";"200.000 ";;;"Preventivo";;2;"MAN-RAD";"Mantenimiento radiador";30;;30
"Sistema refrigeracion 4";12;107;"Externo";"Anual";"5.000 ";"50.000 ";;;;;6;"CAM-EMP-BOM";"Cambio Empaquetadura bomba";30;;30
"Sistema refrigeracion 5";12;107;"Externo";"Anual";"25.000 ";"300.000 ";;;;;7;"CAM- BOM";"Cambio de bomba";180;12;180
"Sistema refrigeracion 6";12;107;"Interno";"Anual";"20.000 ";"200.000 ";;;;;8;"CAM-REF";"Cambio de refrigerante";45;14;45
"Sitema Compactacion 1";6;107;"Interno";"Anual";"25.000 ";"300.000 ";;10.310;"Preventivo";"Alta";1;"CAM-ACE";"Cambio de aceite";20;14;20
"Sitema Compactacion 2";6;107;"Interno";"Semestral";"3.500 ";"40.000 ";;;;;2;"CAM-FIL";"Cambio de filtro";10;14;10
"Sitema Compactacion 3";6;107;"Externo";"Anual";"25.000 ";"300.000 ";;;;;3;"REP-MAND";"Reparacion de mandos";5.760;;5760
"Sitema Compactacion 4";6;107;"Externo";"Anual";;;;;;;4;"REP-CIN-HID";"Reparacion cilindros hidraulicos";4.500;;4.500
"Sitema Compactacion 5";6;107;"Interno";"Anual";"5.000 ";"50.000 ";;;"Preventivo";"Alta";5;"CAM-MAN";"Cambio de mangueras";20;14;20
"Sistema electrico 1";1;107;"Interno";;"2.500 ";"30.000 ";;740;"Preventivo";"Alta";1;"REP-ALT";"Reparacion alternador";180;15;180
"Sistema electrico 2";1;107;"Interno";;"2.500 ";"30.000 ";;;"Preventivo";"Alta";2;"REP-MOT-ARR";"Reparacion motor arranque";180;15;180
"Sistema electrico 3";1;107;"Interno";;"10.000 ";"100.000 ";;;"Predictivo";"Baja";3;"CAM-ALT";"Cambio alternador";60;15;60
"Sistema electrico 4";1;107;"Interno";;"10.000 ";"100.000 ";;;"Predictivo";"Baja";4;"CAM-MOT-ARR";"Cambio de motor arranque";60;15;60
"Sistema electrico 5";1;107;"Interno";;"832 ";"10.000 ";;;"Preventivo";"Alta";5;"ROT-BAT";"Rotacion de baterias";80;15;80
"Sistema electrico 6";1;107;"Interno";;"3.000 ";"35.000 ";;;"Predictivo";"Baja";6;"CAM-BAT";"Cambio de baterias";60;15;60
"Sistema electrico 7";1;107;"Interno";;"400 ";"5.000 ";;;"Preventivo";"Alta";7;"REV-LUC";"Revision de luces";120;15;120
