lapso_doc|id_item|id_ext_itm|id_referencia|descripcion|unimed_inv_1|can_exis_fin|vlr_cost_fin
201111|002365|   |SOL367         |TUNEL INTERNO DE ANTORCHA               |UND|0.0000|0.00000000000000000000
201111|002366|   |REP1069        |COMPUTADOR DE CAJA AUTOMATICO INTERNACIO|UND|0.0000|0.00000000000000000000
201111|002367|   |TOR351         |TORNILLO 7/16X1 1/4 G5                  |UND|0.0000|0.00000000000000000000
201111|002368|   |REP1070        |DADO STANLEY 1/2  12PT 10MM             |UND|1.0000|9280.0000000000000000
201111|002370|   |SOL368         |PRENSA HORCA C  10                      |UND|0.0000|0.00000000000000000000
201111|002371|   |REP1072        |RETORNO DEL SISTEMA COMBUSTIBLE TRACTOR |UND|0.0000|0.00000000000000000000
201111|002372|   |REP1073        |MANGUERA PRESION 5/16 CAUCHO Y LONA     |MTR|0.0000|0.00000000000000000000
201111|002373|   |TOR352         |GRAPAS 7/8X3X23                         |UND|0.0000|0.00000000000000000000
201111|002374|   |REP1074        |CASQUETE BANCADA NPR 2.0                |UND|0.0000|0.00000000000000000000
201111|002375|   |REP1075        |CASQUETE DE BIELA NPR 3.0               |UND|0.0000|0.00000000000000000000
201111|002376|   |REP1076        |EMPAQUETADURA MOTOR NPR COMPLETA        |UND|0.0000|0.00000000000000000000
201111|002377|   |REP1077        |JUEGO MEDIAS LUNA DE AJUSTE CIGUENAL NPR|UND|0.0000|0.00000000000000000000
201111|002378|   |PIN099         |PISTOLA PARA PINTAR DE ALTA             |UND|0.0000|0.00000000000000000000
201111|002379|   |REP1078        |MALACATE O GARRUCHA DE 3 TON CON CADENA |UND|0.0000|0.00000000000000000000
201111|002380|   |LLN115         |COPA IMPACTO 3/4 X 1X 1/16 LARGA        |UND|0.0000|0.00000000000000000000
201111|002381|   |LLN116         |COPA IMPACTO 3/4 1.3/16 6PT             |UND|0.0000|0.00000000000000000000
201111|002382|   |REP1079        |VOLVEDOR  3/4 X 20                      |UND|1.0000|203000.000000000000
201111|002383|   |REP1080        |GATO TIPO BOTELLA 50 TON                |UND|0.0000|0.00000000000000000000
201111|002384|   |TOR353         |TORNILLO 1/4X2 1/2  G8 RO               |UND|0.0000|0.00000000000000000000
201111|002385|   |REP1081        |ALTERNADOR 160AMP 12V INTERNACIONAL     |UND|0.0000|0.00000000000000000000
201111|002386|   |REP1082        |CHAPETA CARDAN LUV DIMAX                |UND|0.0000|0.00000000000000000000
201111|002387|   |REP1083        |BUJE BOMBA DE ACEITE NPR                |UND|0.0000|0.00000000000000000000
201111|002388|   |PIN100         |CINTA DE ENMASCARAR 1/2                 |UND|20.0000|80001.000000000000
201111|002389|   |REP1084        |FILTRO HIDRAULICO KODIAK P553293        |UND|24.0000|312448.000000000000
